County,Web Site,Notifications,User Fees
Scott,¯\_(ツ)_/¯,Sikeston Standard Democrat Severe Weather Alerts,None
Scott,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,
Scottland,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Shannon,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Shannon,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Shelby,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Shelby,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
St. Charles,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
St. Clair,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
St. Clair,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
St. Clair,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Ste. Genevieve,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Ste. Genevieve,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Ste. Genevieve,¯\_(ツ)_/¯,St. Francois County 911 Severe Weather Alerts,None
St. Francois ,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,None
St. Francois ,¯\_(ツ)_/¯,St. Francois County 911 Severe Weather Alerts,None
St. Francois ,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
St. Francois ,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
St. Louis,¯\_(ツ)_/¯,Code Red Severe Weather Alerts - City of Maplewood,None
St. Louis,¯\_(ツ)_/¯,Twitter and Facebook Severe Weather Alerts,
St. Louis,¯\_(ツ)_/¯,Code Red Severe Weather Alerts - City of Eureka,
St. Louis,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
St. Louis City,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Stoddard,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
Stoddard,¯\_(ツ)_/¯,Sikeston Standard Democrat Severe Weather Alerts,None
Stoddard,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Stoddard,¯\_(ツ)_/¯,Southeast Missourian Severe Weather Alerts ,None
Stone,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None/Standard Messaging Data Rates
Stone,¯\_(ツ)_/¯,KSPR News Cell Phone Alerts,None/Standard Messaging Data Rates
Stone,¯\_(ツ)_/¯,Emergency Email Severe Weather Alerts,None
Stone,¯\_(ツ)_/¯,Branson Severe Weather Alerts,None/Standard Messaging Data Rates
Stone,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Sullivan,¯\_(ツ)_/¯,Weather.com Severe Weather Alerts,None
Taney,¯\_(ツ)_/¯,Branson Severe Weather Alerts,
Taney,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Taney,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Taney,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Texas,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Texas,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Vernon,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Vernon,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Warren,¯\_(ツ)_/¯,Warren County Emergency Mass Notification,None
Warren,¯\_(ツ)_/¯,Village of Innsbrook Severe Weather Alerts,None
Warren,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Washington,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Wayne,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Webster,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Webster,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Webster,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Webster,¯\_(ツ)_/¯,Springfield News Leader Weather Alerts,None
Worth,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Worth,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Worth,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Wright,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Wright,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
