title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Town of Cary : Interactive Development Map;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;5;4/12/2017 8:51;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Tennis Park;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;;5;4/18/2017 15:20;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;;3;4/19/2017 13:32;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Tennis Park;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;I just want to make a reservation. No option I can fine. Plenty of unnecessary information. Nothing about the simplest thing I could be asking for. Or if it is there it is hard to fine;1;4/1/2017 9:39;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/home;Alert for water main break -- status;1;3/27/2017 10:55;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;Yes;5;3/31/2017 19:17;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings 2009 - 2016;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;5;3/21/2017 2:33;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Boathouse Rentals;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-boathouse/bond-park-boathouse-rentals;;5;4/2/2017 8:59;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police Department;http://www.townofcary.org/connect-engage/town-departments-offices/police-department;;4;3/29/2017 23:16;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Greenways;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways;;5;3/27/2017 18:48;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Community Services;http://www.townofcary.org/services-publications/police/community-services;;5;3/23/2017 10:43;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Town Departments & Offices;http://www.townofcary.org/connect-engage/town-departments-offices;;1;4/3/2017 19:02;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Programs & Classes;http://www.townofcary.org/recreation-enjoyment/programs-classes;;1;3/19/2017 11:13;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;https://www.townofcary.org/services-publications/water-sewer/utility-customer-service;Ho. How are you I need to know where to make a claim for my water bill I live in boundary village condominium And is been a headache the water bill is super high They dont give the name of the company that charge for it I believe is over charge to pay others peoples bill pay off Please call me to [REDACTED]  Thanks;1;12/11/2017 17:04;Service Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-sortn-SDepts/-sortd-asc/-seldept-11/-npage-4;i couldn't find goth's boss;3;12/14/2017 14:11;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/business-development/developing-in-cary/construction-permits-and-inspection/performance-guarantee-requirements;Yess;4;12/18/2017 7:24;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online;Inspection results;1;12/19/2017 15:02;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-sortn-SDepts/-sortd-asc/-seldept-11/-npage-4;;2;12/14/2017 14:09;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/traffic/traffic-calming;;5;12/17/2017 19:16;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13672/715;;5;12/2/2017 16:54;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/home;;2;12/18/2017 20:04;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Planning Department;http://www.townofcary.org/connect-engage/town-departments-offices/planning-department;"""I am on """"PLANNING DEPARTMENT"""" page which I use fairly regularly.  Would be helpful to have the """"staff contacts"""" link on this page so you would not have to dig down further to find it""";3;2/9/2017 17:10;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : NC Building Codes;http://www.townofcary.org/services-publications/residential-permits-inspections/nc-building-codes;I am trying to find the zoning/set back restrictions for my property.  Where is that information located?;3;2/27/2017 12:17;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Community Plan;http://www.townofcary.org/projects-initiatives/cary-community-plan;This is an unbelievable improvement from the 90s version of websites that it was before.  Thank you for making it user friendly.;5;2/20/2017 14:05;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : News & Updates;http://www.townofcary.org/services-publications/transit/gocary/news-updates;Why is the most recent update at the bottom of page and not first thing?        page and not the top?;1;2/23/2017 21:16;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Curbside Recycling;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/curbside-recycling;Can I drop a mattress at the recycling center?;5;2/11/2017 19:51;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Programs & Classes;http://www.townofcary.org/recreation-enjoyment/programs-classes;Do you have summer camp information?  Book and how to register?;4;2/12/2017 7:57;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : GoCary;http://www.townofcary.org/services-publications/transit/gocary;What is DBE in the chart?;2;2/23/2017 21:09;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Trails At Hemlock Bluffs;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/stevens-nature-center-at-hemlock-bluffs-nature-preserve/trails-at-hemlock-bluffs;;4;2/18/2017 12:34;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : School's Out Camp Guide;http://www.townofcary.org/recreation-enjoyment/programs-classes/school-s-out-camp-guide;;5;2/10/2017 18:32;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Planning Department;http://www.townofcary.org/connect-engage/town-departments-offices/planning-department;;1;2/16/2017 13:18;;;;;;;;;;;;;;;;;;;;;;;
Traffic Schedule 8: Prohibited parking – all times | Town of Cary;http://www.townofcary.org/services-publications/plans-publications-reports/traffic-schedules/traffic-schedule-8-prohibited-parking-all-times;To click on Traffic Schedule-8 opens a web page.  To click on Traffic Schedule-15 opens a PDF instead of a web page.;3;10/31/2017 5:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Door to Door Service | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service;Hello dear i have a question my wife broke her right leg and i have 2 kids in the school in cary so my question is can this service can help me to pick up my kids;3;11/10/2017 20:15;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Camp Information: Track-Out";Summer;"and School's Out | Town of Cary""";https://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out;;5;11/29/2017 16:56;;;;;;;;;;;;;;;;;;;;;
Standard Detail Drawings 2009 - 2016 | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;no;1;11/11/2017 23:58;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Accreditation | Town of Cary;http://www.townofcary.org/services-publications/police/accreditation;yes;3;11/1/2017 19:23;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;leaf removal;1;12/1/2017 16:50;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Holiday Schedule | Town of Cary;https://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;11/19/2017 20:28;;;;;;;;;;;;;;;;;;;;;;;
Cary Dog Parks | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;;5;11/4/2017 11:12;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;https://www.townofcary.org;;5;11/26/2017 16:45;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Jobs & Employees;http://www.townofcary.org/connect-engage/jobs-employees;Uable to access W-2 info due to confusing info regarding additional & different login info required & nowhere to enter it.;2;2/5/2017 14:05;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Historic Landmarks;http://www.townofcary.org/projects-initiatives/project-updates/general-government-projects/historic-landmarks;No. Am looking for complete list of landmarks;1;2/3/2017 12:30;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : DigiPay;http://www.townofcary.org/services-publications/make-a-payment/digipay;no I am already enrolled and it will not take me to that screen;1;2/9/2017 8:54;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Make a Payment;http://www.townofcary.org/services-publications/make-a-payment;Need to know how to pay;1;2/6/2017 15:39;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Affordable Senior Apartments in the Town of Cary;http://www.townofcary.org/services-publications/housing/affordable-housing-initiative/affordable-senior-apartments-in-the-town-of-cary;;4;2/3/2017 11:56;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bank Draft Form;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/bank-draft-form;;1;2/9/2017 14:36;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings 2009 - 2016;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;4;2/6/2017 3:16;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Senior Center;http://www.townofcary.org/recreation-enjoyment/facilities/senior-center;;2;2/4/2017 0:16;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bids & Proposals;http://www.townofcary.org/business-development/bids-proposals;;5;2/3/2017 9:39;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police;http://www.townofcary.org/services-publications/police;;1;2/4/2017 7:36;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13788/715;"""I was looking for changes in the garbage pick up schedule due to the snow.  There is either no impact";"or the Information was not available. Guess we’ll find out tomorrow.""";2;1/17/2018 23:37;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13788/715;Trash collection for tomorrow Lochmere was not listed.;1;1/17/2018 18:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes;looking for registration dates for summer camp;1;1/18/2018 14:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/newsroom/news-releases;;5;1/18/2018 9:03;;;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;https://www.townofcary.org/projects-initiatives/maps/interactive-development-map;"""Where is the legend?  The help screen showed a button for the legend";"but it's not on the screen.  What's is purple versus green? """;4;1/27/2018 10:55;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information/live;Are the roads clear for Raleigh radiology Cary nc;5;1/18/2018 18:16;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13636/715?seldept=11&npage=2;No update regarding trash pick up schedule.;1;1/18/2018 18:10;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;How to stop water services;3;1/23/2018 20:51;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out;;5;1/28/2018 13:54;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/mayor-council/town-council;;5;1/31/2018 13:31;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;;5;1/23/2018 5:05;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;"""shows how cary has web designersssssss";animatorrssssss;programmmerssssss;"graphic designerrsssss.""";5;2/13/2017 11:32;Other Comments;;;;;;;;;;;;;;;;;;;
Town of Cary : Black Creek Greenway;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways/black-creek-greenway;Who maintains the Weston Greenway? There is a large tree blocking the path.;1;2/6/2017 10:53;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : All Things Development;http://www.townofcary.org/business-development/developing-in-cary;Nice summary page!;5;2/7/2017 10:53;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : DigiPay;http://www.townofcary.org/services-publications/make-a-payment/digipay;Great!;4;2/6/2017 11:02;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Citizen's Convenience Center;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;2/10/2017 10:23;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Junior Team Tennis;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/juniors/junior-team-tennis;;1;2/13/2017 9:24;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Door to Door Service;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service;;5;2/11/2017 9:40;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : All Things Development;http://www.townofcary.org/business-development/developing-in-cary;;5;2/6/2017 9:17;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Recruitment;http://www.townofcary.org/services-publications/police/recruitment;;5;2/2/2017 20:18;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;;1;2/6/2017 18:55;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Staff Directory;http://www.townofcary.org/Home/Components/StaffDirectory/StaffDirectory/4420/1443?seldept=12;How can I email staff a question - I've already spoken to the person I need but I cannot follow up with an email since you do not list them in the employee directory as other Municipalities do.;1;2/16/2017 8:32;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Rezoning Cases;http://www.townofcary.org/connect-engage/transparency/public-hearings/public-hearing-cases/rezoning-cases;Not able to see 2017 rezoning cases.  Would like to see because one of the cases is near my residence.  When will they be posted?;1;2/16/2017 12:36;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Specifications - 2017;http://www.townofcary.org/business-development/developing-in-cary/standard-specifications-2017;It wpuld be helpful to add a link to the standard drawings on this page.;3;2/28/2017 10:15;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Online Application;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival/apply/online-application;hello;4;2/18/2017 20:43;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police;http://www.townofcary.org/services-publications/police;How many total police officers in Cary Police Department?;5;2/18/2017 20:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Contact the Town;http://www.townofcary.org/connect-engage/get-help;The feedback email link is not working.;1;2/27/2017 11:57;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Affordable Housing Initiative;http://www.townofcary.org/services-publications/housing/affordable-housing-initiative;;3;2/18/2017 14:06;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Tennis Park;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;;2;2/21/2017 17:34;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Tennis Park;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;;5;2/21/2017 17:34;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Spring Youth Baseball and Softball (Age 5-18);http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;Can't find ez reg easily like i used to.;2;3/23/2017 15:46;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;I would love a bigger recycling bin. My husband and I were given a small green one when we moved in this past fall... and we would love a bigger brown one!;4;3/7/2017 21:09;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Youth Sports;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports;Where are the rules for all the youth sports leagues?;2;3/1/2017 8:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;I couldn't find anything about how to not become a victim of Identity Theft or Fraud.;1;3/10/2017 12:00;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings 2009 - 2016;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;2;3/8/2017 5:46;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;;5;3/8/2017 12:58;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : How To Use Aquastar;http://www.townofcary.org/services-publications/water-sewer/water/aquastar/how-to-use-aquastar;;1;3/22/2017 7:17;;;;;;;;;;;;;;;;;;;;;;;
Unknown;http://www.townofcary.org/recreation-enjoyment/sports/sports-events-and-tournaments/cary-road-race/-PageMode-Print;;4;3/13/2017 14:19;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Doing Business;http://www.townofcary.org/business-development/doing-business;;5;3/8/2017 12:01;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Adopted Budget for Fiscal Year 2017;http://www.townofcary.org/services-publications/plans-publications-reports/budget/adopted-budget-for-fiscal-year-2017;"""Where would I find the information that I used to find under """"About Cary"""". """;2;5/1/2017 14:11;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Getting to the Festival;http://www.townofcary.org/recreation-enjoyment/events/festivals/spring-daze-arts-and-crafts-festival/attend/directions-map-parking;Maybe add more hints to where certain items are;4;4/29/2017 11:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police Department;http://www.townofcary.org/connect-engage/town-departments-offices/police-department;How to file hit and run report....;1;4/29/2017 9:13;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Training | Town of Cary;http://www.townofcary.org/services-publications/fire/divisions/training;cant find the fire fighter application;1;5/12/2017 22:47;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Middle Creek Disc Golf Course;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/middle-creek-school-park/middle-creek-disc-golf-course;;1;5/6/2017 7:44;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Graphs;http://www.townofcary.org/services-publications/water-sewer/water/aquastar/how-to-use-aquastar/graphs;;1;4/28/2017 16:28;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Herbfest;http://www.townofcary.org/recreation-enjoyment/events/special-events/herbfest;;5;5/6/2017 9:20;;;;;;;;;;;;;;;;;;;;;;;
Bids & Proposals | Town of Cary;http://www.townofcary.org/business-development/bids-proposals;;1;5/8/2017 11:01;;;;;;;;;;;;;;;;;;;;;;;
Online Utility Payment | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/online-utility-payment;screen frozen;2;6/26/2017 19:22;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Jack Smith Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/jack-smith-park;Pictures of park;3;7/2/2017 11:19;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary's July 4th Celebration | Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2317/1636?curm=7&cury=2017;;5;7/3/2017 20:29;;;;;;;;;;;;;;;;;;;;;;;
Independence Day Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/independence-day-events;;5;7/2/2017 18:11;;;;;;;;;;;;;;;;;;;;;;;
Recycling FAQ | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/recycling-faq;;4;6/22/2017 12:12;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : News Releases : Town of Cary's Weekend Update;http://www.townofcary.org/Home/Components/News/News/13338/715;;5;6/21/2017 21:03;;;;;;;;;;;;;;;;;;;;;;;
Yard Waste | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste;;5;7/3/2017 17:46;;;;;;;;;;;;;;;;;;;;;;;
Cary Superlatives | Town of Cary;http://www.townofcary.org/recreation-enjoyment/about-cary/cary-superlatives;;5;6/27/2017 11:01;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/connect-engage/calendar;;5;6/24/2017 14:06;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Get the Facts - Bike and Hike App;http://www.townofcary.org/connect-engage/newsroom/bottom-line/get-the-facts-bike-and-hike-app;"""Yes";I did find what I was looking for;"more info on the Bike & Hike app""";5;4/7/2017 17:00;Other Comments;;;;;;;;;;;;;;;;;;;;
Town of Cary : Residential Inspections Information;http://www.townofcary.org/services-publications/residential-permits-inspections/residential-inspections-information;Need a direct link to view the inspection results;1;3/30/2017 16:44;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Community Plan;http://www.townofcary.org/projects-initiatives/cary-community-plan;Wish to see video;5;4/20/2017 11:57;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Online Utility Payment;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/online-utility-payment;;3;4/20/2017 11:55;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Spring Daze Arts and Crafts Festival;http://www.townofcary.org/recreation-enjoyment/events/festivals/spring-daze-arts-and-crafts-festival;;3;4/2/2017 8:33;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Boathouse Rentals;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-boathouse/bond-park-boathouse-rentals;;5;4/14/2017 21:49;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings 2009 - 2016;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;5;4/24/2017 11:46;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Getting Started;http://www.townofcary.org/services-publications/water-sewer/water/aquastar/how-to-use-aquastar/getting-started;;5;3/29/2017 10:21;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Applications & Forms;http://www.townofcary.org/business-development/applications-forms;;3;4/11/2017 16:07;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Downtown;http://www.townofcary.org/recreation-enjoyment/downtown;;5;4/6/2017 12:26;;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;"""This is at least the 5th time over the last year where garbage collection was mysteriously skipped for our street. Please have the crews report to you on the day they decide to skip a street";so that you can post that information on your website;"unless you want all of us to call the next morning to complain.""";2;6/6/2017 18:05;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;
"""White Oak Creek Greenway Project";"Ph V (American Tobacco Trail Connection) | Town of Cary""";http://www.townofcary.org/projects-initiatives/project-updates/greenway-projects/white-oak-creek-greenway-ph-v-american-tobacco-trail-connection;Are there plans to have parking access at Green Level Church Rd?;1;5/17/2017 16:22;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Vacation Time and Holidays | Town of Cary;http://www.townofcary.org/connect-engage/jobs-employees/employee-benefits/vacation-time-and-holidays;Glen- this page is super messed up on mobile view. FYI  Jennifer;3;6/10/2017 19:11;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Curbside Recycling | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/curbside-recycling;can we bring a mattress and box spring to dixon st?;4;6/2/2017 11:19;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Park After Dark | Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2245/1636;Did not say if there's a cost or not.;1;6/6/2017 12:00;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
USA Baseball National Training Complex | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/usa-baseball-national-training-complex;;5;6/21/2017 19:18;;;;;;;;;;;;;;;;;;;;;;;
How To Apply | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service/how-to-apply;;4;5/18/2017 10:04;;;;;;;;;;;;;;;;;;;;;;;
Recycling FAQ | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/recycling-faq;;5;5/20/2017 15:49;;;;;;;;;;;;;;;;;;;;;;;
Traffic | Town of Cary;http://www.townofcary.org/services-publications/traffic;;5;6/14/2017 16:08;;;;;;;;;;;;;;;;;;;;;;;
Spring Youth Baseball and Softball (Age 5-18) | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;when's the last day to sign up for fall season;3;7/14/2017 13:42;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Standard Detail Drawings 2009 - 2016 | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;thaaaaaaaaaaaaaaaanks;5;7/5/2017 13:30;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/connect-engage/calendar;Not helpful;1;7/8/2017 8:15;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Fix a Leak | Town of Cary;http://www.townofcary.org/services-publications/water-sewer-stormwater/water/water-conservation/education/household-conservation-tips/fix-a-leak;;4;7/24/2017 11:08;;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;7/6/2017 16:56;;;;;;;;;;;;;;;;;;;;;;;
Bond Park Events Calendar | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center/bond-park-calendar;;1;7/18/2017 19:01;;;;;;;;;;;;;;;;;;;;;;;
Holiday Schedule | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;7/4/2017 18:08;;;;;;;;;;;;;;;;;;;;;;;
DigiPay | Town of Cary;http://www.townofcary.org/services-publications/make-a-payment/digipay;;1;7/21/2017 16:44;;;;;;;;;;;;;;;;;;;;;;;
Teens | Town of Cary;http://www.townofcary.org/recreation-enjoyment/special-populations/teens;;3;7/17/2017 9:36;;;;;;;;;;;;;;;;;;;;;;;
Land Development Ordinance | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/development-regulations/land-development-ordinance;"""Hi I need more clarification on if I am allowed to cut the pines I have in my backyard and make it flat as it is a small hill and is a waste of last if I don't make it flat. Please advice.  The address is 115 Union Mills Way";Cary;NC 27519 Thank you;"Alejandro Granados email: [REDACTED]""";3;8/11/2017 14:54;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;
Water Rates and Utility Fees | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/utility-rates-and-fees;I was disappointed I could not setup service online.;2;7/27/2017 12:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;It would be nice to be able to set up or terminate service via your website;3;8/9/2017 11:11;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2286/1636;Can you tell me if this event will be on tv? 13u team usa event 9th-13th;5;8/8/2017 0:11;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
